ma_so	state	pct_food_insecure
0	U.S.	10.4
1	AK	9.5
2	AL	13.1
3	AR	15.0
4	AZ	10.1
5	CA	9.6
6	CO	10.5
7	CT	9.6
8	DC	9.0
9	DE	11.2
10	FL	9.9
11	GA	9.9
12	HI	9.1
13	IA	7.0
14	ID	9.8
15	IL	9.4
16	IN	9.7
17	KS	10.2
18	KY	12.3
19	LA	14.5
20	MA	8.4
21	MD	8.7
22	ME	9.5
23	MI	11.4
24	MN	7.4
25	MO	12.0
26	MS	15.3
27	MT	10.4
28	NC	10.9
29	ND	7.7
30	NE	10.6
31	NH	5.4
32	NJ	8.3
33	NM	11.5
34	NV	10.2
35	NY	10.3
36	OH	10.8
37	OK	13.8
38	OR	10.3
39	PA	9.2
40	RI	8.4
41	SC	12.6
42	SD	8.7
43	TN	11.2
44	TX	13.7
45	UT	11.2
46	VA	7.8
47	VT	7.9
48	WA	7.9
49	WI	9.9
50	WV	14.0
51	WY	11.2
