Job Title,Salary Estimate,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Hourly,Employer provided,Lower Salary,Upper Salary,Avg Salary(K),company_txt,Job Location,Age,Python,spark,aws,excel,sql,sas,keras,pytorch,scikit,tensor,hadoop,tableau,bi,flink,mongo,google_an,job_title_sim,seniority_by_title,Degree,Same City
Data Scientist,53-91 ,3.8,Tecolote Research,"Albuquerque, NM","Goleta, CA",501 - 1000 ,1973,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),-1,0,0,53,91,72.0,Tecolote Research,NM,51,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,data scientist,na,M,0
Healthcare Data Scientist,63-112 ,3.4,University of Maryland Medical System,"Linthicum, MD","Baltimore, MD",10000+ ,1984,Other Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),-1,0,0,63,112,87.5,University of Maryland Medical System,MD,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,M,0
Data Scientist,80-90 ,4.8,KnowBe4,"Clearwater, FL","Clearwater, FL",501 - 1000 ,2010,Company - Private,Security Services,Business Services,$100 to $500 million (USD),-1,0,0,80,90,85.0,KnowBe4,FL,14,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,data scientist,na,M,1
Data Scientist,56-97 ,3.8,PNNL,"Richland, WA","Richland, WA",1001 - 5000 ,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",0,0,56,97,76.5,PNNL,WA,59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na,1
Data Scientist,86-143 ,2.9,Affinity Solutions,"New York, NY","New York, NY",51 - 200 ,1998,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"Commerce Signals, Cardlytics, Yodlee",0,0,86,143,114.5,Affinity Solutions,NY,26,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,data scientist,na,na,1
Data Scientist,71-119 ,3.4,CyrusOne,"Dallas, TX","Dallas, TX",201 - 500 ,2000,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD),"Digital Realty, CoreSite, Equinix",0,0,71,119,95.0,CyrusOne,TX,24,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,data scientist,na,na,1
Data Scientist,54-93 ,4.1,ClearOne Advantage,"Baltimore, MD","Baltimore, MD",501 - 1000 ,2008,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,-1,0,0,54,93,73.5,ClearOne Advantage,MD,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na,1
Data Scientist,86-142 ,3.8,Logic20/20,"San Jose, CA","Seattle, WA",201 - 500 ,2005,Company - Private,Consulting,Business Services,$25 to $50 million (USD),-1,0,0,86,142,114.0,Logic20/20,CA,19,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,data scientist,na,M,0
Research Scientist,38-84 ,3.3,Rochester Regional Health,"Rochester, NY","Rochester, NY",10000+ ,2014,Hospital,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),-1,0,0,38,84,61.0,Rochester Regional Health,NY,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,P,1
Data Scientist,120-160 ,4.6,<intent>,"New York, NY","New York, NY",51 - 200 ,2009,Company - Private,Internet,Information Technology,$100 to $500 million (USD),"Clicktripz, SmarterTravel",0,0,120,160,140.0,<intent>,NY,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na,1
Data Scientist,126-201 ,3.5,Wish,"San Jose, CA","San Francisco, CA",501 - 1000 ,2011,Company - Private,Other Retail Stores,Retail,$1 to $2 billion (USD),-1,0,0,126,201,163.5,Wish,CA,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na,0
Data Scientist,64-106 ,4.1,ManTech,"Chantilly, VA","Herndon, VA",5001 - 10000 ,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),-1,0,0,64,106,85.0,ManTech,VA,56,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,data scientist,na,na,0
Staff Data Scientist - Technology,106-172 ,3.2,Walmart,"Plano, TX","Bentonville, AR",10000+ ,1962,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),"Target, Costco Wholesale, Amazon",0,0,106,172,139.0,Walmart,TX,62,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,data scientist,na,M,0
Data Analyst,46-85 ,4.1,Yesler,"Seattle, WA","Seattle, WA",201 - 500 ,2012,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1,0,0,46,85,65.5,Yesler,WA,12,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,analyst,na,na,1
Data Scientist,83-144 ,3.7,Takeda Pharmaceuticals,"Cambridge, MA","OSAKA, Japan",10000+ ,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Novartis, Baxter, Pfizer",0,0,83,144,113.5,Takeda Pharmaceuticals,MA,243,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,data scientist,na,M,0
Data Engineer I,102-190 ,3.6,Audible,"Newark, NJ","Newark, NJ",1001 - 5000 ,1995,Subsidiary or Business Segment,Motion Picture Production & Distribution,Media,Unknown / Non-Applicable,-1,0,0,102,190,146.0,Audible,NJ,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data engineer,na,na,1
"Scientist I/II, Biology",67-137 ,3.9,Blueprint Medicines,"Cambridge, MA","Cambridge, MA",51 - 200 ,2011,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),"bluebird bio, Agios Pharmaceuticals, Celgene",0,0,67,137,102.0,Blueprint Medicines,MA,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,P,1
Customer Data Scientist,118-189 ,4.3,h2o.ai,"Mountain View, CA","Mountain View, CA",201 - 500 ,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,118,189,153.5,h2o.ai,CA,13,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,data scientist,na,M,1
Data Scientist - Health Data Analytics,110-175 ,4.2,Nuna,"San Francisco, CA","San Francisco, CA",51 - 200 ,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,110,175,142.5,Nuna,CA,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na,1
Data Scientist,64-111 ,4.0,Pinnacol Assurance,"Denver, CO","Denver, CO",501 - 1000 ,1915,Nonprofit Organization,Insurance Carriers,Insurance,$500 million to $1 billion (USD),-1,0,0,64,111,87.5,Pinnacol Assurance,CO,109,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,data scientist,na,M,1
Data Scientist,81-130 ,3.2,Porch,"Seattle, WA","Seattle, WA",201 - 500 ,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,"Angie's List, HomeAdvisor, Thumbtack",0,0,81,130,105.5,Porch,WA,12,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,M,1
Senior Data Scientist / Machine Learning,73-119 ,3.9,Health IQ,"Dallas, TX","Mountain View, CA",201 - 500 ,2013,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,-1,0,0,73,119,96.0,Health IQ,TX,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,sr,P,0
Data Scientist - Quantitative,86-139 ,3.8,Truckstop.com,"Chicago, IL","New Plymouth, ID",501 - 1000 ,1995,Company - Private,Logistics & Supply Chain,Transportation & Logistics,Unknown / Non-Applicable,-1,0,0,86,139,112.5,Truckstop.com,IL,29,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,data scientist,na,M,0
